JeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Location,Building,System,ID,Priority,Date of New Deficiency Created or Existing Modified,New RSMeans Deficiency Description,Deficiency (Scope Of Work),Qty,UoM,Cost with Inflation Factor
778,CO-1420-2946,Fitzmorris ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
501,CO-1420-5892,Fletcher Miller Special Education School,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
116,CO-1420-3025,Foothills ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
502,CO-1420-3088,Foster Dual Language PK-8,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
503,CO-1420-3201,Free Horizon Montessori,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
117,CO-1420-3216,Fremont ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
SOLD-2,CO-1420-3450,Glennon Heights Elementary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
310,CO-1420-3502,Golden HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
118,CO-1420-3536,Governor's Ranch ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-3691,Great Work Montessori,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
119,CO-1420-3622,Green Gables ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
779,CO-1420-3624,Green Mountain ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
311,CO-1420-3628,Green Mountain HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
120,CO-1420-3726,Hackberry Hill ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
121,CO-1420-4190,Hutchinson ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
410;411,CO-1420-4307,Irwin,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-9980,Jeffco Central Services,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-4127,Jeffco Remote Learning Program,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-0499,Jeffco Transition Services,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-4408,Jeffco Virtual Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-4404,Jefferson Academy,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
902,CO-1420-4402,Jefferson Academy Elementary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
965,CO-1420-4410,Jefferson Academy Secondary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
122,CO-1420-6539,Jefferson County Open Elementary School,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
,CO-1420-6541,Jefferson County Open Secondary,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
522,CO-1420-4422,Jefferson Jr-Sr HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
211,CO-1420-4548,Ken Caryl MS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
123,CO-1420-4549,Kendallvue ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
124,CO-1420-4550,Kendrick Lakes ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
780,CO-1420-4802,Kullerstrand ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
125,CO-1420-4830,Kyffin ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
312,CO-1420-4942,Lakewood HS,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
126,CO-1420-5004,Lasley ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
127,CO-1420-5024,Lawrence ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
128,CO-1420-5036,Leawood ES,02.5_FoodAndNutritionProjects,,,02.5 Food And Nutrition Projects,,,,,,,,,,,,,,
